"ZIP_CODE","STATE","ZIP_TYPE","RUCA1","RUCA2","rurality"
"00001","AK","Zip Code Area","10","10","Rural"
"00002","AK","Zip Code Area","10","10","Rural"
"00003","AK","Zip Code Area","10","10","Rural"
"00004","AK","Zip Code Area","10","10","Rural"
"00005","AK","Zip Code Area","10","10","Rural"
"00006","AK","Zip Code Area","10","10","Rural"
"00007","AK","Zip Code Area","10","10","Rural"
"00008","AK","Zip Code Area","10","10","Rural"
"00009","AK","Zip Code Area","10","10","Rural"
"00010","AK","Zip Code Area","10","10","Rural"
"00011","AK","Zip Code Area","8","8","Rural"
"00012","CA","Zip Code Area","5","5","Rural"
"00013","HI","Zip Code Area","10","10","Rural"
"00014","AZ","Zip Code Area","7","7","Rural"
"00015","AZ","Zip Code Area","1","1","Urban"
"00016","CA","Zip Code Area","8","8.1","Rural"
"00017","CA","Zip Code Area","10","10.1","Rural"
"00018","CA","Zip Code Area","10","10","Rural"
"00019","CA","Zip Code Area","10","10","Rural"
"00020","CA","Zip Code Area","10","10","Rural"
"00022","CA","Zip Code Area","4","4","Suburban"
"00026","CA","Zip Code Area","10","10.1","Rural"
"00027","CO","Zip Code Area","1","1","Urban"
"00028","CA","Zip Code Area","2","2","Suburban"
"00029","CA","Zip Code Area","2","2","Suburban"
"00031","CA","Zip Code Area","10","10","Rural"
"00032","CA","Zip Code Area","10","10","Rural"
"00033","CA","Zip Code Area","10","10","Rural"
"00034","CA","Zip Code Area","10","10","Rural"
"00035","CA","Zip Code Area","8","8","Rural"
"00037","CA","Zip Code Area","5","5","Rural"
"00038","CA","Zip Code Area","5","5","Rural"
"00039","CA","Zip Code Area","10","10.2","Rural"
"00040","CA","Zip Code Area","10","10","Rural"
"00041","FL","Zip Code Area","2","2","Suburban"
"00042","FL","Zip Code Area","1","1","Urban"
"00043","FL","Zip Code Area","2","2","Suburban"
"00044","CA","Zip Code Area","10","10","Rural"
"00045","FL","Zip Code Area","2","2","Suburban"
"00047","CA","Zip Code Area","10","10","Rural"
"00048","CA","Zip Code Area","4","4","Suburban"
"00049","CA","Zip Code Area","10","10.2","Rural"
"00050","CA","Zip Code Area","10","10","Rural"
"00051","CA","Zip Code Area","2","2","Suburban"
"00052","CA","Zip Code Area","2","2","Suburban"
"00053","FL","Zip Code Area","1","1","Urban"
"00054","CA","Zip Code Area","10","10","Rural"
"00055","CA","Zip Code Area","10","10","Rural"
"00056","ID","Zip Code Area","2","2","Suburban"
"00057","CA","Zip Code Area","10","10","Rural"
"00058","CA","Zip Code Area","10","10","Rural"
"00059","MN","Zip Code Area","10","10","Rural"
"00060","MN","Zip Code Area","10","10","Rural"
"00061","CA","Zip Code Area","10","10","Rural"
"00063","MT","Zip Code Area","2","2","Suburban"
"00064","NM","Zip Code Area","10","10","Rural"
"00065","CA","Zip Code Area","10","10","Rural"
"00066","NM","Zip Code Area","10","10","Rural"
"00067","OK","Zip Code Area","1","1","Urban"
"00068","OR","Zip Code Area","5","5","Rural"
"00069","OR","Zip Code Area","2","2","Suburban"
"00070","OR","Zip Code Area","10","10","Rural"
"00071","UT","Zip Code Area","2","2","Suburban"
"00072","WA","Zip Code Area","2","2","Suburban"
"00073","WA","Zip Code Area","2","2.1","Suburban"
"00074","WA","Zip Code Area","10","10","Rural"
"00076","WA","Zip Code Area","10","10","Rural"
"00077","OR","Zip Code Area","3","3","Rural"
"00084","NC","Zip Code Area","2","2","Suburban"
"00087","FL","Zip Code Area","2","2","Suburban"
"00097","FL","Zip Code Area","10","10","Rural"
"00098","FL","Zip Code Area","10","10","Rural"
"00100","UT","Zip Code Area","1","1","Urban"
"00116","LA","Zip Code Area","2","2","Suburban"
"00119","LA","Zip Code Area","4","4","Suburban"
"00121","LA","Zip Code Area","2","2","Suburban"
"00125","ME","Zip Code Area","10","10","Rural"
"00126","ME","Zip Code Area","10","10","Rural"
"00127","ME","Zip Code Area","2","2","Suburban"
"00128","ME","Zip Code Area","10","10","Rural"
"00130","ME","Zip Code Area","10","10","Rural"
"00132","ME","Zip Code Area","10","10","Rural"
"00133","ME","Zip Code Area","10","10","Rural"
"00134","ME","Zip Code Area","10","10","Rural"
"00135","ME","Zip Code Area","9","9","Rural"
"00137","ME","Zip Code Area","8","8","Rural"
"00138","ME","Zip Code Area","8","8","Rural"
"00139","ME","Zip Code Area","10","10","Rural"
"00141","ME","Zip Code Area","10","10","Rural"
"00148","ME","Zip Code Area","9","9","Rural"
"00151","ME","Zip Code Area","10","10","Rural"
"00152","MD","Zip Code Area","6","6","Rural"
"00158","MA","Zip Code Area","10","10","Rural"
"00160","MN","Zip Code Area","10","10","Rural"
"00161","MN","Zip Code Area","9","9","Rural"
"00164","MN","Zip Code Area","10","10","Rural"
"00165","MN","Zip Code Area","10","10","Rural"
"00166","MN","Zip Code Area","5","5","Rural"
"00168","NH","Zip Code Area","4","4","Suburban"
"00172","NH","Zip Code Area","10","10","Rural"
"00173","NH","Zip Code Area","6","6","Rural"
"00174","NH","Zip Code Area","6","6","Rural"
"00176","NH","Zip Code Area","6","6","Rural"
"00177","NH","Zip Code Area","4","4","Suburban"
"00179","NH","Zip Code Area","6","6","Rural"
"00180","NH","Zip Code Area","6","6","Rural"
"00181","NH","Zip Code Area","6","6","Rural"
"00182","NH","Zip Code Area","6","6","Rural"
"00183","NH","Zip Code Area","4","4","Suburban"
"00184","NH","Zip Code Area","4","4","Suburban"
"00185","NH","Zip Code Area","10","10","Rural"
"00188","TX","Zip Code Area","5","5","Rural"
"00195","WA","Zip Code Area","10","10","Rural"
"00197","AZ","Zip Code Area","2","2","Suburban"
"00198","AK","Zip Code Area","2","2","Suburban"
"00199","AZ","Zip Code Area","1","1","Urban"
"00501","NY","Post Office or large volume customer","1","1","Urban"
"00544","NY","Post Office or large volume customer","1","1","Urban"
"00601","PR","Zip Code Area","4","4","Suburban"
"00602","PR","Zip Code Area","1","1","Urban"
"00603","PR","Zip Code Area","1","1","Urban"
"00604","PR","Post Office or large volume customer","1","1","Urban"
"00605","PR","Post Office or large volume customer","1","1","Urban"
"00606","PR","Zip Code Area","7","7","Rural"
"00610","PR","Zip Code Area","1","1","Urban"
"00611","PR","Post Office or large volume customer","1","1","Urban"
"00612","PR","Zip Code Area","1","1","Urban"
"00613","PR","Post Office or large volume customer","1","1","Urban"
"00614","PR","Post Office or large volume customer","1","1","Urban"
"00616","PR","Post Office or large volume customer","1","1","Urban"
"00617","PR","Zip Code Area","1","1","Urban"
"00622","PR","Post Office or large volume customer","1","1","Urban"
"00623","PR","Zip Code Area","1","1","Urban"
"00624","PR","Zip Code Area","1","1","Urban"
"00627","PR","Zip Code Area","1","1","Urban"
"00631","PR","Zip Code Area","10","10","Rural"
"00636","PR","Post Office or large volume customer","1","1","Urban"
"00637","PR","Zip Code Area","1","1","Urban"
"00638","PR","Zip Code Area","1","1","Urban"
"00641","PR","Zip Code Area","1","1","Urban"
"00646","PR","Zip Code Area","1","1","Urban"
"00647","PR","Zip Code Area","1","1","Urban"
"00650","PR","Zip Code Area","1","1","Urban"
"00652","PR","Post Office or large volume customer","1","1","Urban"
"00653","PR","Zip Code Area","1","1","Urban"
"00656","PR","Zip Code Area","1","1","Urban"
"00659","PR","Zip Code Area","1","1","Urban"
"00660","PR","Zip Code Area","1","1","Urban"
"00662","PR","Zip Code Area","1","1","Urban"
"00664","PR","Zip Code Area","4","4","Suburban"
"00667","PR","Zip Code Area","1","1","Urban"
"00669","PR","Zip Code Area","1","1","Urban"
"00670","PR","Zip Code Area","1","1","Urban"
"00674","PR","Zip Code Area","1","1","Urban"
"00676","PR","Zip Code Area","1","1","Urban"
"00677","PR","Zip Code Area","1","1","Urban"
"00678","PR","Zip Code Area","1","1","Urban"
"00680","PR","Zip Code Area","1","1","Urban"
"00681","PR","Post Office or large volume customer","1","1","Urban"
"00682","PR","Zip Code Area","1","1","Urban"
"00683","PR","Zip Code Area","1","1","Urban"
"00685","PR","Zip Code Area","1","1","Urban"
"00687","PR","Zip Code Area","1","1","Urban"
"00688","PR","Post Office or large volume customer","1","1","Urban"
"00690","PR","Zip Code Area","1","1","Urban"
"00692","PR","Zip Code Area","1","1","Urban"
"00693","PR","Zip Code Area","1","1","Urban"
"00694","PR","Post Office or large volume customer","1","1","Urban"
"00698","PR","Zip Code Area","1","1","Urban"
"00703","PR","Zip Code Area","1","1","Urban"
"00704","PR","Zip Code Area","1","1","Urban"
"00705","PR","Zip Code Area","1","1","Urban"
"00707","PR","Zip Code Area","7","7","Rural"
"00714","PR","Zip Code Area","1","1","Urban"
"00715","PR","Zip Code Area","1","1","Urban"
"00716","PR","Zip Code Area","1","1","Urban"
"00717","PR","Zip Code Area","1","1","Urban"
"00718","PR","Zip Code Area","1","1","Urban"
"00719","PR","Zip Code Area","1","1","Urban"
"00720","PR","Zip Code Area","1","1","Urban"
"00721","PR","Post Office or large volume customer","1","1","Urban"
"00723","PR","Zip Code Area","1","1","Urban"
"00725","PR","Zip Code Area","1","1","Urban"
"00726","PR","Post Office or large volume customer","1","1","Urban"
"00727","PR","Zip Code Area","1","1","Urban"
"00728","PR","Zip Code Area","1","1","Urban"
"00729","PR","Zip Code Area","1","1","Urban"
"00730","PR","Zip Code Area","1","1","Urban"
"00731","PR","Zip Code Area","1","1","Urban"
"00732","PR","Post Office or large volume customer","1","1","Urban"
"00733","PR","Post Office or large volume customer","1","1","Urban"
"00734","PR","Post Office or large volume customer","1","1","Urban"
"00735","PR","Zip Code Area","1","1","Urban"
"00736","PR","Zip Code Area","1","1","Urban"
"00737","PR","Post Office or large volume customer","1","1","Urban"
"00738","PR","Zip Code Area","1","1","Urban"
"00739","PR","Zip Code Area","1","1","Urban"
"00740","PR","Zip Code Area","1","1","Urban"
"00741","PR","Zip Code Area","1","1","Urban"
"00742","PR","Post Office or large volume customer","10","10","Rural"
"00744","PR","Post Office or large volume customer","1","1","Urban"
"00745","PR","Zip Code Area","1","1","Urban"
"00751","PR","Zip Code Area","1","1","Urban"
"00754","PR","Zip Code Area","1","1","Urban"
"00757","PR","Zip Code Area","4","4","Suburban"
"00765","PR","Zip Code Area","7","7","Rural"
"00766","PR","Zip Code Area","1","1","Urban"
"00767","PR","Zip Code Area","1","1","Urban"
"00769","PR","Zip Code Area","4","4","Suburban"
"00771","PR","Zip Code Area","1","1","Urban"
"00772","PR","Zip Code Area","1","1","Urban"
"00773","PR","Zip Code Area","1","1","Urban"
"00775","PR","Zip Code Area","10","10","Rural"
"00777","PR","Zip Code Area","1","1","Urban"
